# BTC-USD Exchange Rates for 2021
# Based on https://api.bitcoincharts.com/v1/csv/
Date,Open,High,Low,Close,Volume
2021-03-24,54710.488,57262.383,52514.332,52774.266,70567223787
2021-03-25,52726.746,53392.387,50856.57,51704.16,67999812841
2021-03-26,51683.012,55137.313,51579.855,55137.313,56652197978
2021-03-27,55137.566,56568.215,54242.91,55973.512,47266542233
2021-03-28,55974.941,56610.313,55071.113,55950.746,47686580918
2021-03-29,55947.898,58342.098,55139.34,57750.199,57625587027
2021-03-30,57750.133,59447.223,57251.551,58917.691,54414116432
2021-03-31,58930.277,59930.027,57726.418,58918.832,65520826225
2021-04-01,58926.563,59586.07,58505.277,59095.809,61669163792
2021-04-02,59098.879,60267.188,58869.281,59384.313,58727860620
2021-04-03,59397.41,60110.27,57603.891,57603.891,59641344484
2021-04-04,57604.84,58913.746,57168.676,58758.555,50749662970
2021-04-05,58760.875,59891.297,57694.824,59057.879,60706272115
2021-04-06,59171.934,59479.578,57646.809,58192.359,66058027988
2021-04-07,58186.508,58731.145,55604.023,56048.938,75645303584
2021-04-08,56099.914,58338.738,55879.086,58323.953,53053855641
2021-04-09,58326.563,58937.047,57807.863,58245.004,46655208546
2021-04-10,58253.777,61276.664,58038.707,59793.234,58238470525
2021-04-11,59846.23,60790.555,59289.797,60204.965,46280252580
2021-04-12,60175.945,61253.035,59589.875,59893.453,51828688519
2021-04-13,59890.02,63742.285,59869.957,63503.457,69983454362
2021-04-14,63523.754,64863.098,61554.797,63109.695,77451779687
2021-04-15,63075.195,63821.672,62208.965,63314.012,60954381579
2021-04-16,63258.504,63594.723,60222.531,61572.789,84293007468
2021-04-17,61529.922,62572.176,60361.352,60683.82,66138759198
2021-04-18,60701.887,61057.457,52829.535,56216.184,97468872758
2021-04-19,56191.586,57520.055,54368.594,55724.266,65344865159
2021-04-20,55681.793,57062.148,53448.047,56473.031,67849323955
2021-04-21,56471.129,56757.973,53695.469,53906.09,54926612466
2021-04-22,53857.105,55410.23,50583.813,51762.273,74798630778
2021-04-23,51739.809,52120.793,47714.664,51093.652,86668667320
2021-04-24,51143.227,51167.563,48805.285,50050.867,49014494781
2021-04-25,50052.832,50506.02,47159.484,49004.254,46117114240
2021-04-26,49077.793,54288.004,48852.797,54021.754,58284039825
2021-04-27,54030.305,55416.965,53319.188,55033.117,49448222757
2021-04-28,55036.637,56227.207,53887.918,54824.703,48000572955
2021-04-29,54858.09,55115.844,52418.027,53555.109,46088929780
2021-04-30,53568.664,57900.719,53129.602,57750.176,52395931985
2021-05-01,57714.664,58448.34,57052.273,57828.051,42836427360
2021-05-02,57825.863,57902.594,56141.906,56631.078,38177405335
2021-05-03,56620.273,58973.309,56590.871,57200.293,51713139031
2021-05-04,57214.18,57214.18,53191.426,53333.539,68564706967
2021-05-05,53252.164,57911.363,52969.055,57424.008,69241316747
2021-05-06,57441.309,58363.316,55382.508,56396.516,69523285106
2021-05-07,56413.953,58606.633,55321.848,57356.402,68434023376
2021-05-08,57352.766,59464.613,56975.211,58803.777,65382980634
2021-05-09,58877.391,59210.883,56482.004,58232.316,65906690347
2021-05-10,58250.871,59519.355,54071.457,55859.797,71776546298
2021-05-11,55847.242,56872.543,54608.652,56704.574,61308396325
2021-05-12,56714.531,57939.363,49150.535,49150.535,75215403907
2021-05-13,49735.434,51330.844,46980.02,49716.191,96721152926
2021-05-14,49682.98,51438.117,48868.578,49880.535,55737497453
2021-05-15,49855.496,50639.664,46664.141,46760.188,59161047474
2021-05-16,46716.637,49720.043,43963.352,46456.059,64047871555
2021-05-17,46415.898,46623.559,42207.289,43537.512,74903638450
2021-05-18,43488.059,45812.457,42367.832,42909.402,56187365084
2021-05-19,42944.977,43546.117,30681.496,37002.441,126358098747
2021-05-20,36753.668,42462.984,35050.617,40782.738,88281943359
2021-05-21,40596.949,42172.172,33616.453,37304.691,82051616861
2021-05-22,37371.031,38831.055,35383.684,37536.633,57377273240
2021-05-23,37531.449,38289.219,31227.34,34770.582,78469274361
2021-05-24,34700.363,39835.141,34551.082,38705.98,67359584098
2021-05-25,38795.781,39776.352,36581.43,38402.223,56211915803
2021-05-26,38392.625,40782.078,37905.836,39294.199,51346735160
2021-05-27,39316.891,40379.617,37247.902,38436.969,43210968721
2021-05-28,38507.082,38856.969,34779.039,35697.605,55200191952
2021-05-29,35684.156,37234.5,33693.93,34616.066,45231013335
2021-05-30,34607.406,36400.668,33520.738,35678.129,31646080921
2021-05-31,35658.594,37468.25,34241.945,37332.855,39009847639
2021-06-01,37293.793,37896.734,35787.086,36684.926,34639423297
2021-06-02,36699.922,38231.34,35966.309,37575.18,33070867190
2021-06-03,37599.41,39478.953,37243.973,39208.766,35460750427
2021-06-04,39242.484,39242.484,35717.723,36894.406,41831090187
2021-06-05,36880.156,37917.715,34900.414,35551.957,35959473399
2021-06-06,35538.609,36436.422,35304.578,35862.379,28913440585
2021-06-07,35835.266,36790.57,33480.641,33560.707,33683936663
2021-06-08,33589.52,34017.387,31114.443,33472.633,49902050442
2021-06-09,33416.977,37537.371,32475.865,37345.121,53972919008
2021-06-10,37389.516,38334.324,35847.594,36702.598,43576032854
2021-06-11,36697.031,37608.695,36044.449,37334.398,38699736985
2021-06-12,37340.145,37408.926,34728.191,35552.516,37924228550
2021-06-13,35555.789,39322.781,34864.109,39097.859,40669112838
2021-06-14,39016.969,40978.363,38757.285,40218.477,43148914673
2021-06-15,40427.168,41295.27,39609.469,40406.27,46420149185
2021-06-16,40168.691,40516.777,38176.035,38347.063,39211635100
2021-06-17,38341.422,39513.672,37439.676,38053.504,37096670047
2021-06-18,38099.477,38187.262,35255.855,35787.246,36200887275
2021-06-19,35854.527,36457.797,34933.063,35615.871,31207279719
2021-06-20,35563.141,36059.484,33432.074,35698.297,36664034054
2021-06-21,35641.145,35721.641,31295.936,31676.693,52809038594
2021-06-22,31622.377,33292.453,28893.621,32505.66,58964353058
2021-06-23,32515.715,34753.41,31772.633,33723.027,46317108925
2021-06-24,33682.801,35228.852,32385.215,34662.438,33123368116
2021-06-25,34659.105,35487.246,31350.885,31637.779,40230904226
2021-06-26,31594.664,32637.588,30184.502,32186.277,38585385521
2021-06-27,32287.523,34656.129,32071.758,34649.645,35511640894
2021-06-28,34679.121,35219.891,33902.074,34434.336,33892523752
2021-06-29,34475.559,36542.109,34252.484,35867.777,37901460044
2021-06-30,35908.387,36074.758,34086.152,35040.836,34059036099
2021-07-01,35035.984,35035.984,32883.781,33572.117,37838957079
2021-07-02,33549.602,33939.59,32770.68,33897.047,38728974942
2021-07-03,33854.422,34909.262,33402.695,34668.547,24383958643
2021-07-04,34665.566,35937.566,34396.477,35287.781,24924307911
2021-07-05,35284.344,35284.344,33213.66,33746.004,26721554282
2021-07-06,33723.508,35038.535,33599.918,34235.195,26501259870
2021-07-07,34225.68,34997.664,33839.289,33855.328,24796027477
2021-07-08,33889.605,33907.906,32133.184,32877.371,29910396946
2021-07-09,32861.672,34042.293,32318.881,33798.012,27436021028
2021-07-10,33811.242,34209.07,33116.012,33520.52,22971873468
2021-07-11,33509.078,34584.703,33346.738,34240.188,20108729370
2021-07-12,34254.016,34592.156,32697.309,33155.848,24321499537
2021-07-13,33125.469,33327.102,32261.42,32702.025,19120856669
2021-07-14,32723.846,33061.398,31639.125,32822.348,21376531210
2021-07-15,32827.875,33159.641,31175.709,31780.73,21300524237
2021-07-16,31841.551,32218.406,31100.674,31421.539,23699476918
2021-07-17,31397.309,31935.945,31223.99,31533.068,18895018942
2021-07-18,31533.885,32398.996,31215.492,31796.811,18787986667
2021-07-19,31800.012,31885.859,30563.734,30817.832,20434789545
2021-07-20,30838.285,31006.188,29360.955,29807.348,23148267245
2021-07-21,29796.285,32752.326,29526.184,32110.693,28203024559
2021-07-22,32138.873,32576.4,31745.299,32313.105,19555230518
2021-07-23,32305.959,33581.551,32057.893,33581.551,22552046192
2021-07-24,33593.73,34490.391,33424.859,34292.445,21664706865
2021-07-25,34290.293,35364.926,33881.836,35350.188,20856685287
2021-07-26,35384.031,40499.676,35287.313,37337.535,51022126212
2021-07-27,37276.035,39406.941,36441.727,39406.941,35097370560
2021-07-28,39503.188,40816.07,38862.438,39995.906,38702404695
2021-07-29,39995.453,40593.07,39352.059,40008.422,27167146027
2021-07-30,40027.484,42235.547,38397.355,42235.547,33072782960
2021-07-31,42196.305,42231.449,41110.832,41626.195,25802845343
2021-08-01,41460.844,42541.68,39540.941,39974.895,26688438115
2021-08-02,39907.262,40419.18,38746.348,39201.945,25595265436
2021-08-03,39178.402,39750.031,37782.051,38152.98,26189830450
